tatasteel,bajajfin,britannia,techmah,sunpharma,rf
-1.986179813,-2.23910176,0.724395695,-1.98706265,-0.649038462,0.000164384
-0.689602034,1.932139178,0.710259876,0.681859617,-1.01016211,0.000164384
0.515943828,-1.991366831,0.602691855,1.068376068,-0.849373663,0.000164384
-1.126934507,0.371237725,0.777798754,1.34016555,-4.461974609,0.000164384
-0.815800773,3.34270147,0.148614389,3.560694459,-1.554638111,0.000164384
0.125934671,-0.026297391,0.830506784,3.438268233,0.969792281,0.000164384
3.663234022,1.355634255,-0.013604096,0.445618089,-0.077876566,0.000164384
-0.978236142,-1.334337674,0.399520081,-0.51922445,0.032473859,0.000164384
-1.041507122,0.259185362,0.42010595,-3.428911205,-0.727178289,0.000164384
-3.025847392,-4.753098665,0.219602262,-2.079770131,-1.046435579,0.000164384
10.59771766,-0.183407346,-0.799363447,1.414797736,1.771315268,0.000164384
3.669095894,-0.23287745,0.523217789,-0.220453997,1.448240031,0.000164384
1.277188098,0.035755245,0.326536625,1.139227397,-0.051213111,0.000164384
-0.192426637,0.045858258,0.37074651,-0.873809605,0.096073785,0.000164384
0.767747711,0.377483131,-0.186517128,-1.552976826,-0.140772972,0.000164384
-1.124056169,-0.200119534,-0.563039681,0.262329486,-0.51262335,0.000164384
-1.185210781,0.438050507,-0.230912843,-0.376766091,0.148138606,0.000164384
-0.080428017,-0.079054561,0.838380854,0.514759954,-0.971123545,0.000164384
0.580947715,0.65774476,-0.400444396,1.808110368,1.863878426,0.000164384
0.462769659,0.227141021,1.106875375,-1.314033467,0.656678355,0.000164384
-1.284937485,-0.331631975,-0.923815528,-0.287804709,0.069673169,0.000164384
-0.975370149,0.282058292,-1.731479895,-0.104326054,-0.183555921,0.000164384
2.767148526,0.065163041,-0.444544062,0.790224883,0.703868104,0.000164384
-0.665402517,-4.771081135,-0.278924328,-1.965254032,-0.862666079,0.000164384
-3.918506178,-2.775800712,-1.123835087,1.846110485,-1.956300813,0.000164384
-0.657443196,-0.497373181,-0.270198272,0.283658503,-1.457631511,0.000164384
1.101778117,0.187537417,-2.241217024,0.938254571,1.117612254,0.000164384
1.039418789,0.506123154,-0.796294369,0.017087007,0.299070282,0.000164384
-3.274837148,-3.264996203,1.417816484,-3.235726245,-1.555714008,0.000164384
1.247561918,-1.349189894,0.768186227,-1.186440678,0.237044841,0.000164384
9.076039546,-1.75646665,-4.496977631,0.950543168,2.857518229,0.000164384
0.216601686,-2.047645971,-0.651750319,0.084955752,0.159662792,0.000164384
1.044091242,-0.514032542,-1.114567834,-3.243262361,-0.427214181,0.000164384
-3.800842438,-3.459225516,-2.072333324,1.1185437,-0.320184426,0.000164384
-1.799336366,0.697630978,1.152379489,0.245815711,0.044969806,0.000164384
-0.63747518,-0.511331559,0.129805568,-4.540045437,0.115584666,0.000164384
-3.688122283,0.037290444,0.322714108,-0.041553339,1.770252069,0.000164384
2.810133955,0.373575793,-0.030243044,-2.690752428,-0.573517363,0.000164384
1.179011471,0.502975061,-0.882814004,-1.774826207,-0.456389452,0.000164384
1.24225776,0.384782225,0.198390677,-1.29685276,0.120988283,0.000164384
-2.101479331,1.774896971,-0.909682511,-2.539657106,-0.050880875,0.000164384
-0.63550346,-0.42851639,-0.14252578,0.801479655,1.151765829,0.000164384
0.202529847,-2.075206494,-1.91844845,-1.268093782,-2.491192753,0.000164384
1.71979717,0.445125393,-2.31834848,-0.094986372,-0.135483871,0.000164384
1.694206233,2.761676916,-0.519950926,-6.758711918,-9.167258867,0.000164384
-6.417112299,-2.157778785,0.543222927,-0.73151268,-2.162162162,0.000164384
-2.516483516,-0.487863302,0.778306708,0.116118083,0.072695551,0.000164384
-2.457445609,-1.107286426,0.905600232,-0.057991703,2.193810838,0.000164384
-1.275087638,0.29939391,-1.211947157,0.964113551,-1.336366221,0.000164384
-0.655533011,0.237020499,-0.421536136,1.556145004,-0.965417867,0.000164384
-3.114689709,-4.094874547,0.240854816,-5.345638168,-1.578641059,0.000164384
2.679693518,1.237829969,0.483464636,0.643855776,1.892231503,0.000164384
0.951516109,1.829471024,-0.265205861,0.817949187,-0.094305404,0.000164384
-1.759943682,0.069382658,0.57686719,0.843040384,-0.813244264,0.000164384
-0.895736295,0.068518851,0.719476429,-3.051822554,0.431918009,0.000164384
-1.281433277,0.332577968,-0.007172058,-2.628650904,-0.4300605,0.000164384
-0.146490336,-0.077181808,-0.433223354,0.614197972,-2.115666179,0.000164384
1.01063613,-0.217902123,0.159923928,-0.459019496,-0.097225338,0.000164384
-4.002097874,-0.299047448,0.444482803,0.798668885,-0.149723012,0.000164384
2.42908174,1.320736212,0.857822077,-1.344149413,1.979307242,0.000164384
-4.217781972,0.061304165,-0.066735769,0.348981738,-1.007204823,0.000164384
-0.89098308,-2.091126016,0.129298096,2.39150112,1.032305978,0.000164384
